ISO3,Name,FLUZONE,WHOREGION,HEMISPHERE,SOVEREIGN
AFG,Afghanistan,Southern Asia,EMR,Northern hemishere,Afghanistan
ALB,Albania,South West Europe,EUR,Northern hemishere,Albania
DZA,Algeria,Northern Africa,AFR,Northern hemishere,Algeria
ASM,American Samoa,Oceania Melanesia Polynesia,WPR,Southern hemisphere,United States of America
AND,Andorra,South West Europe,EUR,Northern hemishere,Andorra
AGO,Angola,Middle Africa,AFR,Southern hemisphere,Angola
AIA,Anguilla,Central America and Caribbean,AMR,Northern hemishere,United Kingdom of Great Britain and Northern Ireland
ATG,Antigua and Barbuda,Central America and Caribbean,AMR,Northern hemishere,Antigua and Barbuda
ARG,Argentina,Temperate South America,AMR,Southern hemisphere,Argentina
ARM,Armenia,Western Asia,EUR,Northern hemishere,Armenia
ABW,Aruba,Central America and Caribbean,AMR,Northern hemishere,Netherlands
AUS,Australia,Oceania Melanesia Polynesia,WPR,Southern hemisphere,Australia
AUT,Austria,South West Europe,EUR,Northern hemishere,Austria
AZE,Azerbaijan,Western Asia,EUR,Northern hemishere,Azerbaijan
BHS,Bahamas,Central America and Caribbean,AMR,Northern hemishere,Bahamas
BHR,Bahrain,Western Asia,EMR,Northern hemishere,Bahrain
BGD,Bangladesh,Southern Asia,SEAR,Northern hemishere,Bangladesh
BRB,Barbados,Central America and Caribbean,AMR,Northern hemishere,Barbados
BLR,Belarus,Eastern Europe,EUR,Northern hemishere,Belarus
BEL,Belgium,South West Europe,EUR,Northern hemishere,Belgium
BLZ,Belize,Central America and Caribbean,AMR,Northern hemishere,Belize
BEN,Benin,Western Africa,AFR,Northern hemishere,Benin
BMU,Bermuda,North America,AMR,Northern hemishere,United Kingdom of Great Britain and Northern Ireland
BTN,Bhutan,Southern Asia,SEAR,Northern hemishere,Bhutan
BOL,Bolivia (Plurinational State of),Tropical South America,AMR,Southern hemisphere,Bolivia (Plurinational State of)
BIH,Bosnia and Herzegovina,South West Europe,EUR,Northern hemishere,Bosnia and Herzegovina
BWA,Botswana,Southern Africa,AFR,Southern hemisphere,Botswana
BRA,Brazil,Tropical South America,AMR,Southern hemisphere,Brazil
VGB,British Virgin Islands,Central America and Caribbean,AMR,Northern hemishere,United Kingdom of Great Britain and Northern Ireland
BRN,Brunei Darussalam,South-East Asia,WPR,Northern hemishere,Brunei Darussalam
BGR,Bulgaria,Eastern Europe,EUR,Northern hemishere,Bulgaria
BFA,Burkina Faso,Western Africa,AFR,Northern hemishere,Burkina Faso
BDI,Burundi,Eastern Africa,AFR,Southern hemisphere,Burundi
CPV,Cabo Verde,Western Africa,AFR,Northern hemishere,Cabo Verde
KHM,Cambodia,South-East Asia,WPR,Northern hemishere,Cambodia
CMR,Cameroon,Middle Africa,AFR,Northern hemishere,Cameroon
CAN,Canada,North America,AMR,Northern hemishere,Canada
CYM,Cayman Islands,Central America and Caribbean,AMR,Northern hemishere,United Kingdom of Great Britain and Northern Ireland
CAF,Central African Republic,Middle Africa,AFR,Northern hemishere,Central African Republic
TCD,Chad,Middle Africa,AFR,Northern hemishere,Chad
CHL,Chile,Temperate South America,AMR,Southern hemisphere,Chile
CHN,China,Eastern Asia,WPR,Northern hemishere,China
HKG,"China, Hong Kong SAR",Eastern Asia,WPR,Northern hemishere,China
MAC,"China, Macao SAR",Eastern Asia,WPR,Northern hemishere,China
COL,Colombia,Tropical South America,AMR,Northern hemishere,Colombia
COM,Comoros,Eastern Africa,AFR,Southern hemisphere,Comoros
COG,Congo,Middle Africa,AFR,Southern hemisphere,Congo
COK,Cook Islands,Oceania Melanesia Polynesia,WPR,Southern hemisphere,Cook Islands
CRI,Costa Rica,Central America and Caribbean,AMR,Northern hemishere,Costa Rica
CIV,Côte d'Ivoire,Western Africa,AFR,Northern hemishere,Côte d'Ivoire
HRV,Croatia,South West Europe,EUR,Northern hemishere,Croatia
CUB,Cuba,Central America and Caribbean,AMR,Northern hemishere,Cuba
CYP,Cyprus,Western Asia,EUR,Northern hemishere,Cyprus
CZE,Czechia,Eastern Europe,EUR,Northern hemishere,Czechia
PRK,Democratic People's Republic of Korea,Eastern Asia,SEAR,Northern hemishere,Democratic People's Republic of Korea
COD,Democratic Republic of the Congo,Middle Africa,AFR,Southern hemisphere,Democratic Republic of the Congo
DNK,Denmark,Northern Europe,EUR,Northern hemishere,Denmark
DJI,Djibouti,Eastern Africa,EMR,Northern hemishere,Djibouti
DMA,Dominica,Central America and Caribbean,AMR,Northern hemishere,Dominica
DOM,Dominican Republic,Central America and Caribbean,AMR,Northern hemishere,Dominican Republic
ECU,Ecuador,Tropical South America,AMR,Southern hemisphere,Ecuador
EGY,Egypt,Northern Africa,EMR,Northern hemishere,Egypt
SLV,El Salvador,Central America and Caribbean,AMR,Northern hemishere,El Salvador
GNQ,Equatorial Guinea,Middle Africa,AFR,Northern hemishere,Equatorial Guinea
ERI,Eritrea,Eastern Africa,AFR,Northern hemishere,Eritrea
EST,Estonia,Northern Europe,EUR,Northern hemishere,Estonia
ETH,Ethiopia,Eastern Africa,AFR,Northern hemishere,Ethiopia
FLK,Falkland Islands,Temperate South America,WHO_NONMEM,Southern hemisphere,United Kingdom of Great Britain and Northern Ireland
FRO,Faroe Islands,Northern Europe,WHO_NONMEM,Northern hemishere,Denmark
FJI,Fiji,Oceania Melanesia Polynesia,WPR,Southern hemisphere,Fiji
FIN,Finland,Northern Europe,EUR,Northern hemishere,Finland
FRA,France,South West Europe,EUR,Northern hemishere,France
GUF,French Guiana,Tropical South America,AMR,Northern hemishere,France
PYF,French Polynesia,Oceania Melanesia Polynesia,WPR,Southern hemisphere,France
