COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Kyrgyzstan,2018,40,ILI CASES,0TO4,,,,,0.00
Kyrgyzstan,2018,40,ILI CASES,5TO14,,,,,0.00
Kyrgyzstan,2018,40,ILI CASES,15TO64,,,,,0.00
Kyrgyzstan,2018,40,ILI CASES,65TO,,,,,0.00
Kyrgyzstan,2018,40,ILI CASES,ALL,,,,,0.00
Kyrgyzstan,2018,40,ILI POPULATION COVERED,0TO4,,,,,24917.00
Kyrgyzstan,2018,40,ILI POPULATION COVERED,5TO14,,,,,38717.00
Kyrgyzstan,2018,40,ILI POPULATION COVERED,15TO64,,,,,150264.00
Kyrgyzstan,2018,40,ILI POPULATION COVERED,65TO,,,,,9681.00
Kyrgyzstan,2018,40,ILI POPULATION COVERED,ALL,,,,,223579.00
Kyrgyzstan,2018,40,ARI CASES,0TO4,,,,,1466.00
Kyrgyzstan,2018,40,ARI CASES,5TO14,,,,,831.00
Kyrgyzstan,2018,40,ARI CASES,15TO64,,,,,723.00
Kyrgyzstan,2018,40,ARI CASES,65TO,,,,,74.00
Kyrgyzstan,2018,40,ARI CASES,ALL,,,,,3094.00
Kyrgyzstan,2018,40,ARI POPULATION COVERED,0TO4,,,,,774103.00
Kyrgyzstan,2018,40,ARI POPULATION COVERED,5TO14,,,,,1165304.00
Kyrgyzstan,2018,40,ARI POPULATION COVERED,15TO64,,,,,3870218.00
Kyrgyzstan,2018,40,ARI POPULATION COVERED,65TO,,,,,270215.00
Kyrgyzstan,2018,40,ARI POPULATION COVERED,ALL,,,,,6079840.00
Kyrgyzstan,2018,40,SARI CASES,UNKNOWN,,,,,0.00
Kyrgyzstan,2018,40,SARI CASES,ALL,INFLUENZA A,AH1,Positive,,0.00
Kyrgyzstan,2018,40,SARI CASES,ALL,INFLUENZA A,AH12009,Positive,,
Kyrgyzstan,2018,40,SARI CASES,ALL,INFLUENZA A,AH1N12009,Positive,,0.00
Kyrgyzstan,2018,40,SARI CASES,ALL,INFLUENZA A,AH3N2,Positive,,
Kyrgyzstan,2018,40,SARI CASES,ALL,INFLUENZA B,BVICTORIA,Positive,,
Kyrgyzstan,2018,40,SARI CASES,ALL,INFLUENZA B,BYAMAGATA,Positive,,0.00
Kyrgyzstan,2018,40,SARI CASES,ALL,,,,,53.00
Kyrgyzstan,2018,40,SPECIMENS PROCESSED FOR SARI,ALL,,,TOTAL,,6.00
Kyrgyzstan,2018,40,SARI INPATIENTS,UNKNOWN,,,,,0.00
Kyrgyzstan,2018,40,SARI INPATIENTS,ALL,,,,,995.00
Kyrgyzstan,2018,40,SARI POPULATION COVERED,UNKNOWN,,,,,11.00
Kyrgyzstan,2018,40,SARI POPULATION COVERED,ALL,,,,,1238273.00
Kyrgyzstan,2018,40,SARI DEATHS INPATIENTS,ALL,,,,,0.00
Kyrgyzstan,2018,40,SARI SITES NUMBER,ALL,,,,,5.00
Kyrgyzstan,2018,40,TREND,,,,,,Unchanged
Kyrgyzstan,2018,40,INTENSITY,,,,,,Low/Moderate
Kyrgyzstan,2018,40,IMPACT,,,,,,Low
