COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Denmark,2018,40,ILI CASES,0TO4,,,,,9.00
Denmark,2018,40,ILI CASES,5TO14,,,,,2.00
Denmark,2018,40,ILI CASES,15TO64,,,,,22.00
Denmark,2018,40,ILI CASES,65TO,,,,,3.00
Denmark,2018,40,ILI CASES,UNKNOWN,,,,,
Denmark,2018,40,ILI CASES,ALL,,,,,36.00
Denmark,2018,40,ILI POPULATION COVERED,0TO4,,,,,11516.00
Denmark,2018,40,ILI POPULATION COVERED,5TO14,,,,,25037.00
Denmark,2018,40,ILI POPULATION COVERED,15TO64,,,,,139756.00
Denmark,2018,40,ILI POPULATION COVERED,65TO,,,,,42093.00
Denmark,2018,40,ILI POPULATION COVERED,UNKNOWN,,,,,1.00
Denmark,2018,40,ILI POPULATION COVERED,ALL,,,,,218403.00
Denmark,2018,40,ARI CASES,0TO4,,,,,0.00
Denmark,2018,40,ARI CASES,5TO14,,,,,0.00
Denmark,2018,40,ARI CASES,15TO64,,,,,0.00
Denmark,2018,40,ARI CASES,65TO,,,,,0.00
Denmark,2018,40,ARI CASES,UNKNOWN,,,,,
Denmark,2018,40,ARI CASES,ALL,,,,,
Denmark,2018,40,ARI POPULATION COVERED,0TO4,,,,,0.00
Denmark,2018,40,ARI POPULATION COVERED,5TO14,,,,,0.00
Denmark,2018,40,ARI POPULATION COVERED,15TO64,,,,,0.00
Denmark,2018,40,ARI POPULATION COVERED,65TO,,,,,0.00
Denmark,2018,40,ARI POPULATION COVERED,UNKNOWN,,,,,0.00
Denmark,2018,40,ARI POPULATION COVERED,ALL,,,,,0.00
Denmark,2018,40,TREND,,,,,,Unchanged
Denmark,2018,40,INTENSITY,,,,,,Low/Moderate
Denmark,2018,40,IMPACT,,,,,,Not Available
Denmark,2018,40,GEOSPREAD,,,,,,No Activity
Denmark,2018,41,ILI CASES,0TO4,,,,,5.00
Denmark,2018,41,ILI CASES,5TO14,,,,,4.00
Denmark,2018,41,ILI CASES,15TO64,,,,,25.00
Denmark,2018,41,ILI CASES,65TO,,,,,5.00
Denmark,2018,41,ILI CASES,UNKNOWN,,,,,
Denmark,2018,41,ILI CASES,ALL,,,,,39.00
Denmark,2018,41,ILI POPULATION COVERED,0TO4,,,,,11693.00
Denmark,2018,41,ILI POPULATION COVERED,5TO14,,,,,25423.00
Denmark,2018,41,ILI POPULATION COVERED,15TO64,,,,,141906.00
Denmark,2018,41,ILI POPULATION COVERED,65TO,,,,,42741.00
Denmark,2018,41,ILI POPULATION COVERED,UNKNOWN,,,,,1.00
Denmark,2018,41,ILI POPULATION COVERED,ALL,,,,,221764.00
Denmark,2018,41,ARI CASES,0TO4,,,,,0.00
Denmark,2018,41,ARI CASES,5TO14,,,,,0.00
Denmark,2018,41,ARI CASES,15TO64,,,,,0.00
Denmark,2018,41,ARI CASES,65TO,,,,,0.00
Denmark,2018,41,ARI CASES,UNKNOWN,,,,,
Denmark,2018,41,ARI CASES,ALL,,,,,
Denmark,2018,41,ARI POPULATION COVERED,0TO4,,,,,0.00
Denmark,2018,41,ARI POPULATION COVERED,5TO14,,,,,0.00
Denmark,2018,41,ARI POPULATION COVERED,15TO64,,,,,0.00
Denmark,2018,41,ARI POPULATION COVERED,65TO,,,,,0.00
Denmark,2018,41,ARI POPULATION COVERED,UNKNOWN,,,,,0.00
Denmark,2018,41,ARI POPULATION COVERED,ALL,,,,,0.00
Denmark,2018,41,TREND,,,,,,Unchanged
Denmark,2018,41,INTENSITY,,,,,,Low/Moderate
Denmark,2018,41,IMPACT,,,,,,Not Available
Denmark,2018,41,GEOSPREAD,,,,,,No Activity
Denmark,2018,42,ILI CASES,0TO4,,,,,4.00
Denmark,2018,42,ILI CASES,5TO14,,,,,3.00
Denmark,2018,42,ILI CASES,15TO64,,,,,22.00
Denmark,2018,42,ILI CASES,65TO,,,,,10.00
Denmark,2018,42,ILI CASES,UNKNOWN,,,,,
Denmark,2018,42,ILI CASES,ALL,,,,,39.00
Denmark,2018,42,ILI POPULATION COVERED,0TO4,,,,,10896.00
Denmark,2018,42,ILI POPULATION COVERED,5TO14,,,,,23689.00
Denmark,2018,42,ILI POPULATION COVERED,15TO64,,,,,132230.00
Denmark,2018,42,ILI POPULATION COVERED,65TO,,,,,39827.00
Denmark,2018,42,ILI POPULATION COVERED,UNKNOWN,,,,,1.00
Denmark,2018,42,ILI POPULATION COVERED,ALL,,,,,206643.00
Denmark,2018,42,ARI CASES,0TO4,,,,,0.00
Denmark,2018,42,ARI CASES,5TO14,,,,,0.00
Denmark,2018,42,ARI CASES,15TO64,,,,,0.00
Denmark,2018,42,ARI CASES,65TO,,,,,0.00
Denmark,2018,42,ARI CASES,UNKNOWN,,,,,
Denmark,2018,42,ARI CASES,ALL,,,,,
Denmark,2018,42,ARI POPULATION COVERED,0TO4,,,,,0.00
