COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Austria,2018,40,ILI CASES,0TO4,,,,,12.00
Austria,2018,40,ILI CASES,5TO14,,,,,9.00
Austria,2018,40,ILI CASES,15TO64,,,,,84.00
Austria,2018,40,ILI CASES,65TO,,,,,0.00
Austria,2018,40,ILI CASES,UNKNOWN,,,,,0.00
Austria,2018,40,ILI CASES,ALL,,,,,105.00
Austria,2018,40,ILI POPULATION COVERED,0TO4,,,,,3412.00
Austria,2018,40,ILI POPULATION COVERED,5TO14,,,,,6643.00
Austria,2018,40,ILI POPULATION COVERED,15TO64,,,,,10816.00
Austria,2018,40,ILI POPULATION COVERED,65TO,,,,,3018.00
Austria,2018,40,ILI POPULATION COVERED,ALL,,,,,23889.00
Austria,2018,40,TREND,,,,,,Unchanged
Austria,2018,40,INTENSITY,,,,,,Low/Moderate
Austria,2018,40,IMPACT,,,,,,Not Available
Austria,2018,40,GEOSPREAD,,,,,,No Activity
Austria,2018,41,ILI CASES,0TO4,,,,,17.00
Austria,2018,41,ILI CASES,5TO14,,,,,9.00
Austria,2018,41,ILI CASES,15TO64,,,,,85.00
Austria,2018,41,ILI CASES,65TO,,,,,8.00
Austria,2018,41,ILI CASES,UNKNOWN,,,,,0.00
Austria,2018,41,ILI CASES,ALL,,,,,119.00
Austria,2018,41,ILI POPULATION COVERED,0TO4,,,,,3412.00
Austria,2018,41,ILI POPULATION COVERED,5TO14,,,,,6643.00
Austria,2018,41,ILI POPULATION COVERED,15TO64,,,,,13312.00
Austria,2018,41,ILI POPULATION COVERED,65TO,,,,,3715.00
Austria,2018,41,ILI POPULATION COVERED,ALL,,,,,27082.00
Austria,2018,41,TREND,,,,,,Unchanged
Austria,2018,41,INTENSITY,,,,,,Low/Moderate
Austria,2018,41,IMPACT,,,,,,Not Available
Austria,2018,41,GEOSPREAD,,,,,,No Activity
Austria,2018,42,ILI CASES,0TO4,,,,,36.00
Austria,2018,42,ILI CASES,5TO14,,,,,30.00
Austria,2018,42,ILI CASES,15TO64,,,,,122.00
Austria,2018,42,ILI CASES,65TO,,,,,13.00
Austria,2018,42,ILI CASES,UNKNOWN,,,,,0.00
Austria,2018,42,ILI CASES,ALL,,,,,201.00
Austria,2018,42,ILI POPULATION COVERED,0TO4,,,,,4095.00
Austria,2018,42,ILI POPULATION COVERED,5TO14,,,,,7972.00
Austria,2018,42,ILI POPULATION COVERED,15TO64,,,,,16640.00
Austria,2018,42,ILI POPULATION COVERED,65TO,,,,,4643.00
Austria,2018,42,ILI POPULATION COVERED,ALL,,,,,33350.00
Austria,2018,42,TREND,,,,,,Unchanged
Austria,2018,42,INTENSITY,,,,,,Low/Moderate
Austria,2018,42,IMPACT,,,,,,Not Available
Austria,2018,42,GEOSPREAD,,,,,,No Activity
Austria,2018,43,ILI CASES,0TO4,,,,,46.00
Austria,2018,43,ILI CASES,5TO14,,,,,27.00
Austria,2018,43,ILI CASES,15TO64,,,,,73.00
Austria,2018,43,ILI CASES,65TO,,,,,3.00
Austria,2018,43,ILI CASES,UNKNOWN,,,,,0.00
Austria,2018,43,ILI CASES,ALL,,,,,149.00
Austria,2018,43,ILI POPULATION COVERED,0TO4,,,,,3412.00
Austria,2018,43,ILI POPULATION COVERED,5TO14,,,,,6643.00
Austria,2018,43,ILI POPULATION COVERED,15TO64,,,,,17472.00
Austria,2018,43,ILI POPULATION COVERED,65TO,,,,,4876.00
Austria,2018,43,ILI POPULATION COVERED,ALL,,,,,32403.00
Austria,2018,43,TREND,,,,,,Unchanged
Austria,2018,43,INTENSITY,,,,,,Low/Moderate
Austria,2018,43,IMPACT,,,,,,Not Available
Austria,2018,43,GEOSPREAD,,,,,,No Activity
Austria,2018,44,ILI CASES,0TO4,,,,,29.00
Austria,2018,44,ILI CASES,5TO14,,,,,43.00
Austria,2018,44,ILI CASES,15TO64,,,,,71.00
Austria,2018,44,ILI CASES,65TO,,,,,16.00
Austria,2018,44,ILI CASES,UNKNOWN,,,,,0.00
Austria,2018,44,ILI CASES,ALL,,,,,159.00
Austria,2018,44,ILI POPULATION COVERED,0TO4,,,,,3412.00
Austria,2018,44,ILI POPULATION COVERED,5TO14,,,,,6643.00
Austria,2018,44,ILI POPULATION COVERED,15TO64,,,,,17472.00
Austria,2018,44,ILI POPULATION COVERED,65TO,,,,,4876.00
Austria,2018,44,ILI POPULATION COVERED,ALL,,,,,32403.00
Austria,2018,44,TREND,,,,,,Unchanged
Austria,2018,44,INTENSITY,,,,,,Low/Moderate
Austria,2018,44,IMPACT,,,,,,Not Available
Austria,2018,44,GEOSPREAD,,,,,,No Activity
Austria,2018,45,ILI CASES,0TO4,,,,,51.00
Austria,2018,45,ILI CASES,5TO14,,,,,53.00
Austria,2018,45,ILI CASES,15TO64,,,,,129.00
Austria,2018,45,ILI CASES,65TO,,,,,20.00
Austria,2018,45,ILI CASES,UNKNOWN,,,,,0.00
Austria,2018,45,ILI CASES,ALL,,,,,253.00
Austria,2018,45,ILI POPULATION COVERED,0TO4,,,,,4095.00
Austria,2018,45,ILI POPULATION COVERED,5TO14,,,,,7972.00
Austria,2018,45,ILI POPULATION COVERED,15TO64,,,,,20800.00
Austria,2018,45,ILI POPULATION COVERED,65TO,,,,,5804.00
Austria,2018,45,ILI POPULATION COVERED,ALL,,,,,38671.00
Austria,2018,45,TREND,,,,,,Unchanged
Austria,2018,45,INTENSITY,,,,,,Low/Moderate
Austria,2018,45,IMPACT,,,,,,Not Available
Austria,2018,45,GEOSPREAD,,,,,,No Activity
Austria,2018,46,ILI CASES,0TO4,,,,,74.00
Austria,2018,46,ILI CASES,5TO14,,,,,45.00
Austria,2018,46,ILI CASES,15TO64,,,,,144.00
Austria,2018,46,ILI CASES,65TO,,,,,14.00
Austria,2018,46,ILI CASES,UNKNOWN,,,,,0.00
Austria,2018,46,ILI CASES,ALL,,,,,277.00
Austria,2018,46,ILI POPULATION COVERED,0TO4,,,,,4095.00
Austria,2018,46,ILI POPULATION COVERED,5TO14,,,,,7972.00
Austria,2018,46,ILI POPULATION COVERED,15TO64,,,,,21632.00
Austria,2018,46,ILI POPULATION COVERED,65TO,,,,,6036.00
Austria,2018,46,ILI POPULATION COVERED,ALL,,,,,39735.00
Austria,2018,46,TREND,,,,,,Unchanged
Austria,2018,46,INTENSITY,,,,,,Low/Moderate
Austria,2018,46,IMPACT,,,,,,Not Available
Austria,2018,46,GEOSPREAD,,,,,,No Activity
Austria,2018,47,ILI CASES,0TO4,,,,,57.00
Austria,2018,47,ILI CASES,5TO14,,,,,47.00
Austria,2018,47,ILI CASES,15TO64,,,,,144.00
Austria,2018,47,ILI CASES,65TO,,,,,32.00
Austria,2018,47,ILI CASES,UNKNOWN,,,,,0.00
Austria,2018,47,ILI CASES,ALL,,,,,280.00
Austria,2018,47,ILI POPULATION COVERED,0TO4,,,,,3412.00
Austria,2018,47,ILI POPULATION COVERED,5TO14,,,,,6643.00
Austria,2018,47,ILI POPULATION COVERED,15TO64,,,,,20800.00
Austria,2018,47,ILI POPULATION COVERED,65TO,,,,,5804.00
Austria,2018,47,ILI POPULATION COVERED,ALL,,,,,36659.00
Austria,2018,47,TREND,,,,,,Unchanged
Austria,2018,47,INTENSITY,,,,,,Low/Moderate
Austria,2018,47,IMPACT,,,,,,Not Available
Austria,2018,47,GEOSPREAD,,,,,,No Activity
Austria,2018,48,ILI CASES,0TO4,,,,,41.00
Austria,2018,48,ILI CASES,5TO14,,,,,72.00
Austria,2018,48,ILI CASES,15TO64,,,,,148.00
Austria,2018,48,ILI CASES,65TO,,,,,20.00
Austria,2018,48,ILI CASES,UNKNOWN,,,,,0.00
Austria,2018,48,ILI CASES,ALL,,,,,281.00
Austria,2018,48,ILI POPULATION COVERED,0TO4,,,,,4095.00
Austria,2018,48,ILI POPULATION COVERED,5TO14,,,,,7972.00
Austria,2018,48,ILI POPULATION COVERED,15TO64,,,,,21632.00
Austria,2018,48,ILI POPULATION COVERED,65TO,,,,,6036.00
Austria,2018,48,ILI POPULATION COVERED,ALL,,,,,39735.00
Austria,2018,48,TREND,,,,,,Unchanged
Austria,2018,48,INTENSITY,,,,,,Low/Moderate
Austria,2018,48,IMPACT,,,,,,Not Available
Austria,2018,48,GEOSPREAD,,,,,,No Activity
Austria,2018,49,ILI CASES,0TO4,,,,,82.00
Austria,2018,49,ILI CASES,5TO14,,,,,49.00
Austria,2018,49,ILI CASES,15TO64,,,,,163.00
Austria,2018,49,ILI CASES,65TO,,,,,21.00
Austria,2018,49,ILI CASES,UNKNOWN,,,,,0.00
Austria,2018,49,ILI CASES,ALL,,,,,315.00
Austria,2018,49,ILI POPULATION COVERED,0TO4,,,,,4777.00
Austria,2018,49,ILI POPULATION COVERED,5TO14,,,,,9300.00
Austria,2018,49,ILI POPULATION COVERED,15TO64,,,,,26624.00
Austria,2018,49,ILI POPULATION COVERED,65TO,,,,,7429.00
Austria,2018,49,ILI POPULATION COVERED,ALL,,,,,48130.00
Austria,2018,49,TREND,,,,,,Increasing
Austria,2018,49,INTENSITY,,,,,,Low/Moderate
Austria,2018,49,IMPACT,,,,,,Not Available
Austria,2018,49,GEOSPREAD,,,,,,No Activity
Austria,2018,50,ILI CASES,0TO4,,,,,92.00
Austria,2018,50,ILI CASES,5TO14,,,,,71.00
Austria,2018,50,ILI CASES,15TO64,,,,,153.00
Austria,2018,50,ILI CASES,65TO,,,,,20.00
Austria,2018,50,ILI CASES,UNKNOWN,,,,,0.00
Austria,2018,50,ILI CASES,ALL,,,,,336.00
Austria,2018,50,ILI POPULATION COVERED,0TO4,,,,,6142.00
Austria,2018,50,ILI POPULATION COVERED,5TO14,,,,,11957.00
Austria,2018,50,ILI POPULATION COVERED,15TO64,,,,,24128.00
Austria,2018,50,ILI POPULATION COVERED,65TO,,,,,6733.00
Austria,2018,50,ILI POPULATION COVERED,ALL,,,,,48960.00
Austria,2018,50,TREND,,,,,,Decreasing
