textbox22
generated on 25/01/2019 22:54:28 UTC

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2018,40,2018-10-01,2018-10-07,90,90,,0,0,0,0,0,0,0,0,0,0,90,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2018,41,2018-10-08,2018-10-14,61,61,,0,0,0,0,0,0,0,0,0,0,61,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2018,42,2018-10-15,2018-10-21,85,85,,0,0,0,0,0,0,0,0,0,0,85,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2018,43,2018-10-22,2018-10-28,87,87,,0,0,0,0,0,0,0,0,0,0,87,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2018,44,2018-10-29,2018-11-04,66,66,,1,0,0,0,1,0,0,0,0,1,65,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2018,45,2018-11-05,2018-11-11,89,89,,1,1,0,0,2,2,0,0,2,4,85,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2018,46,2018-11-12,2018-11-18,63,63,,0,0,0,0,0,0,0,0,0,0,63,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2018,47,2018-11-19,2018-11-25,105,105,,7,1,0,0,8,3,0,0,3,11,94,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2018,48,2018-11-26,2018-12-02,72,72,,6,0,0,0,6,0,0,0,0,6,66,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2018,49,2018-12-03,2018-12-09,107,107,,3,0,0,0,3,2,0,0,2,5,102,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2018,50,2018-12-10,2018-12-16,85,85,,5,2,0,0,7,1,0,0,1,8,77,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2018,51,2018-12-17,2018-12-23,96,96,,3,1,0,0,4,0,0,0,0,4,92,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2018,52,2018-12-24,2018-12-30,107,107,,10,4,0,0,14,2,0,0,2,16,91,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2019,1,2018-12-31,2019-01-06,52,52,,7,0,0,0,7,2,0,0,2,9,43,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2019,2,2019-01-07,2019-01-13,74,74,,12,2,0,0,14,0,0,0,0,14,60,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2019,3,2019-01-14,2019-01-20,99,79,,2,10,0,0,12,0,0,0,0,12,67,No Report
Albania,European Region of WHO,South West Europe,2018,40,2018-10-01,2018-10-07,,5,0,0,0,,0,0,0,0,0,0,0,,No Report
