"countries","scaling"
"Austria",14
"Belarus",0.2
"Belgium",8.5
"Bulgaria",1.25
"Croatia",1.4
"Czechia",0.8
"Denmark",18
"Estonia",1.5
"Finland",7
"France",0.03
"Georgia",15
"Germany",0.25
"Greece",4
"Hungary",1
"Iceland",57
"Ireland",45
"Israel",3.5
"Italy",0.75
"Kazakhstan",0.35
"Kyrgyzstan",0.63
"Latvia",4.4
"Lithuania",1.2
"Luxembourg",32
"Netherlands",26
"Norway",1.1
"Poland",1
"Portugal",245
"Republic of Moldova",2.25
"Romania",39
"Russian Federation",0.02
"Serbia",0.5
"Slovakia",0.57
"Slovenia",5.8
"Spain",2
"Sweden",132
"Switzerland",19
"Turkey",3.5
"Ukraine",0.03
"United Kingdom of Great Britain and Northern Ireland",1.8
"Uzbekistan",54
"Canada",40
"Mexico",0.004
"Morocco",0.78
